S-10B
S-12D Google 4 0.451 S:101, I:0, D:43
S-12D Kaldi 5 0.353 S:101, I:0, D:22
S-12D Google 5 0.576 S:67, I:0, D:53
S-18B
S-18B Kaldi 0 0.274 S:215, I:0, D:12
S-18B Google 0 0.413 S:175, I:0, D:80
S-18B Kaldi 1 0.197 S:187, I:0, D:6
S-18B Google 1 0.345 S:154, I:0, D:53
S-18B Kaldi 2 0.247 S:134, I:0, D:0
S-18B Google 2 0.411 S:106, I:0, D:40
S-18B Kaldi 3 0.216 S:196, I:0, D:6
S-18B Google 3 0.409 S:149, I:0, D:55
S-18B Kaldi 4 0.254 S:209, I:0, D:16
S-18B Google 4 0.326 S:190, I:0, D:56
S-18B Kaldi 5 0.147 S:244, I:0, D:6
S-18B Google 5 0.309 S:199, I:0, D:51
S-18B Kaldi 6 0.179 S:96, I:0, D:5
S-18B Google 6 0.311 S:82, I:0, D:19
S-18B Kaldi 7 0.186 S:162, I:0, D:5
S-18B Google 7 0.323 S:136, I:0, D:20
S-18B Kaldi 8 0.35 S:26, I:0, D:5
S-18B Google 8 0.5 S:21, I:0, D:12
S-18B Kaldi 9 0.7 S:5, I:2, D:0
S-18B Google 9 0.833 S:2, I:0, D:2
S-18B Kaldi 10 0.338 S:52, I:3, D:0
S-18B Google 10 0.342 S:50, I:0, D:20
S-18B Kaldi 11 0.261 S:119, I:0, D:2
S-18B Google 11 0.38 S:101, I:0, D:29
S-26B
S-26B Kaldi 0 0.276 S:63, I:0, D:3
S-26B Google 0 0.416 S:52, I:0, D:24
S-26B Kaldi 1 0.285 S:178, I:0, D:6
S-26B Google 1 0.386 S:154, I:0, D:61
S-26B Kaldi 2 0.254 S:208, I:0, D:4
S-26B Google 2 0.413 S:165, I:0, D:47
S-26B Kaldi 3 0.371 S:90, I:0, D:9
S-26B Google 3 0.51 S:71, I:0, D:38
S-26B Kaldi 4 0.223 S:226, I:0, D:20
S-26B Google 4 0.403 S:175, I:0, D:53
S-26B Kaldi 5 0.409 S:236, I:0, D:52
S-26B Google 5 0.524 S:191, I:0, D:90
S-26B Kaldi 6 0.267 S:132, I:0, D:11
S-26B Google 6 0.346 S:119, I:0, D:43
S-26B Kaldi 7 0.303 S:70, I:1, D:0
S-26B Google 7 0.327 S:68, I:0, D:18
S-26B Kaldi 8 0.246 S:86, I:0, D:5
S-26B Google 8 0.336 S:77, I:0, D:15
S-26B Kaldi 9 0.393 S:17, I:0, D:1
S-26B Google 9 0.433 S:17, I:0, D:5
S-26B Kaldi 10 0.402 S:55, I:0, D:8
S-26B Google 10 0.596 S:38, I:0, D:19
S-26B Kaldi 11 0.375 S:5, I:0, D:1
S-26B Google 11 0.7 S:3, I:0, D:7
S-30B
S-30B Kaldi 0 0.341 S:151, I:0, D:17
S-30B Google 0 0.459 S:125, I:0, D:67
S-30B Kaldi 1 0.331 S:109, I:0, D:2
S-30B Google 1 0.43 S:94, I:0, D:57
S-30B Kaldi 2 0.194 S:245, I:0, D:8
S-30B Google 2 0.265 S:225, I:0, D:58
S-30B Kaldi 3 0.209 S:200, I:0, D:10
S-30B Google 3 0.286 S:182, I:0, D:47
S-30B Kaldi 4 0.283 S:355, I:0, D:41
S-30B Google 4 0.342 S:327, I:0, D:111
S-30B Kaldi 5 0.223 S:394, I:0, D:33
S-30B Google 5 0.308 S:352, I:0, D:108
S-30B Kaldi 6 0.295 S:43, I:0, D:8
S-30B Google 6 0.333 S:42, I:0, D:20
S-30B Kaldi 7 0.256 S:59, I:1, D:0
S-30B Google 7 0.35 S:52, I:0, D:17
S-30B Kaldi 8 0.353 S:22, I:0, D:2
S-30B Google 8 0.472 S:19, I:0, D:16
S-30B Kaldi 9 0.189 S:43, I:0, D:3
S-30B Google 9 0.545 S:25, I:0, D:24
S-30B Kaldi 10 0.406 S:19, I:0, D:1
S-30B Google 10 0.706 S:10, I:0, D:19
S-30B Kaldi 11 0.339 S:37, I:0, D:4
S-30B Google 11 0.466 S:31, I:0, D:21
S-9A
S-2B
S-2B Kaldi 0 0.44 S:61, I:0, D:12
S-2B Google 0 0.595 S:45, I:0, D:53
S-2B Kaldi 1 0.566 S:62, I:0, D:32
S-2B Google 1 0.69 S:45, I:0, D:76
S-2B Kaldi 2 0.41 S:292, I:0, D:64
S-2B Google 2 0.577 S:210, I:0, D:140
S-2B Kaldi 3 0.335 S:117, I:0, D:23
