S-10B
S-2B Kaldi 3 33.523 S:117, I:0, D:23
S-2B Google 3 50.0 S:89, I:0, D:53
S-2B Kaldi 4 40.164 S:219, I:0, D:39
S-2B Google 4 50.0 S:184, I:0, D:104
S-2B Kaldi 5 32.449 S:331, I:0, D:70
S-2B Google 5 53.455 S:229, I:0, D:169
S-17A
S-17A Kaldi 0 20.661 S:384, I:0, D:15
S-17A Google 0 34.362 S:319, I:0, D:86
S-17A Kaldi 1 14.555 S:499, I:0, D:18
S-17A Google 1 26.621 S:430, I:0, D:72
S-17A Kaldi 2 10.127 S:284, I:0, D:1
S-17A Google 2 22.327 S:247, I:0, D:40
S-17A Kaldi 3 16.42 S:509, I:0, D:5
S-17A Google 3 30.115 S:427, I:0, D:68
S-17A Kaldi 4 14.174 S:551, I:0, D:22
S-17A Google 4 29.969 S:451, I:0, D:96
S-17A Kaldi 5 14.373 S:280, I:0, D:12
S-17A Google 5 31.003 S:227, I:0, D:61
S-17A Kaldi 6 18.077 S:214, I:1, D:0
S-17A Google 6 36.26 S:167, I:0, D:28
S-17A Kaldi 7 18.347 S:405, I:0, D:9
S-17A Google 7 35.341 S:322, I:0, D:55
S-17A Kaldi 8 12.609 S:201, I:0, D:3
S-17A Google 8 30.603 S:161, I:0, D:31
S-17A Kaldi 9 15.325 S:326, I:0, D:12
S-17A Google 9 26.098 S:286, I:0, D:44
S-17A Kaldi 10 11.418 S:481, I:0, D:12
S-17A Google 10 19.633 S:438, I:0, D:41
S-17A Kaldi 11 17.647 S:70, I:0, D:2
S-17A Google 11 21.839 S:68, I:0, D:9
S-25A
S-15C
S-15C Kaldi 0 20.565 S:197, I:0, D:2
S-15C Google 0 35.2 S:162, I:0, D:45
S-15C Kaldi 1 21.591 S:207, I:0, D:4
S-15C Google 1 29.699 S:187, I:0, D:38
S-15C Kaldi 2 23.721 S:164, I:0, D:6
S-15C Google 2 34.101 S:143, I:0, D:34
S-15C Kaldi 3 20.426 S:187, I:0, D:9
S-15C Google 3 30.38 S:165, I:0, D:42
S-15C Kaldi 4 15.251 S:389, I:0, D:1
S-15C Google 4 20.174 S:368, I:0, D:48
S-15C Kaldi 5 21.053 S:285, I:0, D:22
S-15C Google 5 35.262 S:235, I:0, D:62
S-15C Kaldi 6 55.172 S:13, I:0, D:2
S-15C Google 6 48.387 S:16, I:0, D:7
S-15C Kaldi 7 41.228 S:79, I:12, D:0
S-15C Google 7 57.759 S:49, I:0, D:22
S-15C Kaldi 8 18.729 S:245, I:2, D:0
S-15C Google 8 20.598 S:239, I:0, D:24
S-1A
S-24D
S-24D Kaldi 0 30.204 S:171, I:0, D:14
S-24D Google 0 51.822 S:119, I:0, D:71
S-24D Kaldi 1 21.538 S:204, I:0, D:13
S-24D Google 1 41.221 S:154, I:0, D:55
S-24D Kaldi 2 26.455 S:278, I:0, D:18
S-24D Google 2 44.211 S:212, I:0, D:65
S-24D Kaldi 3 26.216 S:349, I:0, D:16
S-24D Google 3 37.895 S:295, I:0, D:81
S-24D Kaldi 4 21.855 S:497, I:0, D:4
S-24D Google 4 40.596 S:379, I:0, D:134
S-24D Kaldi 5 25.911 S:366, I:0, D:30
S-24D Google 5 44.556 S:275, I:0, D:102
S-24D Kaldi 6 21.687 S:65, I:0, D:8
S-24D Google 6 48.235 S:44, I:0, D:26
S-24D Kaldi 7 40.0 S:39, I:3, D:0
S-24D Google 7 54.839 S:28, I:0, D:8
S-24D Kaldi 8 22.414 S:45, I:0, D:4
S-24D Google 8 31.667 S:41, I:0, D:14
S-24D Kaldi 9 33.758 S:112, I:8, D:0
S-24D Google 9 55.975 S:70, I:0, D:40
S-24D Kaldi 10 20.513 S:62, I:0, D:2
S-24D Google 10 51.25 S:39, I:0, D:24
S-24D Kaldi 11 35.577 S:67, I:0, D:7
S-24D Google 11 50.943 S:52, I:0, D:27
S-31C

Kaldi
average: 27.92716205533597,  standard deviation:10.601906985662124

Google
average: 42.27239130434783,  standard deviation:12.478992381073116

From the generated results, we can observe that Kaldi tends to have a higher substitution error than Google,
and Google has a higher deletion error than Kaldi in general, while the insertion error made by both transcripts
are significantly lower than the two other error types.


